repo_name,act_type,isbot,date_month,activity
nexmo/nexmo-laravel,NON_CODE,0,2018-10,4
nexmo/nexmo-laravel,CODE,0,2019-04,2
nexmo/nexmo-laravel,NON_CODE,0,2019-04,2
nexmo/nexmo-laravel,NON_CODE,0,2019-05,13
nexmo/nexmo-laravel,CODE,0,2019-06,1
nexmo/nexmo-laravel,NON_CODE,0,2019-06,1
nexmo/nexmo-laravel,NON_CODE,0,2019-07,5
nexmo/nexmo-laravel,NON_CODE,0,2019-08,5
nexmo/nexmo-laravel,CODE,0,2019-09,6
nexmo/nexmo-laravel,NON_CODE,0,2019-09,19
nexmo/nexmo-laravel,CODE,0,2019-10,6
nexmo/nexmo-laravel,NON_CODE,0,2019-10,4
nexmo/nexmo-laravel,NON_CODE,0,2019-11,3
nexmo/nexmo-laravel,NON_CODE,0,2019-12,4
nexmo/nexmo-laravel,CODE,0,2020-02,3
nexmo/nexmo-laravel,NON_CODE,0,2020-02,7
nexmo/nexmo-laravel,CODE,0,2020-03,3
nexmo/nexmo-laravel,CODE,0,2020-04,1
nexmo/nexmo-laravel,NON_CODE,0,2020-04,2
nexmo/nexmo-laravel,CODE,0,2020-08,4
nexmo/nexmo-laravel,NON_CODE,0,2020-08,6
nexmo/nexmo-laravel,NON_CODE,0,2020-09,19
nexmo/nexmo-laravel,CODE,0,2020-10,1
nexmo/nexmo-laravel,NON_CODE,0,2020-10,1
nexmo/nexmo-laravel,CODE,0,2020-11,10
nexmo/nexmo-laravel,NON_CODE,0,2020-11,18
nexmo/nexmo-laravel,CODE,0,2020-12,3
nexmo/nexmo-laravel,NON_CODE,0,2020-12,7
nexmo/nexmo-laravel,NON_CODE,0,2021-01,8
nexmo/nexmo-laravel,CODE,0,2021-02,1
nexmo/nexmo-laravel,NON_CODE,0,2021-02,8
nexmo/nexmo-laravel,NON_CODE,0,2021-04,9
nexmo/nexmo-laravel,NON_CODE,0,2021-05,1
nexmo/nexmo-laravel,NON_CODE,0,2021-06,1
nexmo/nexmo-laravel,NON_CODE,0,2021-07,2
nexmo/nexmo-laravel,NON_CODE,0,2021-10,1
nikaia/translation-sheet,CODE,0,2016-09,37
nikaia/translation-sheet,NON_CODE,0,2016-09,4
nikaia/translation-sheet,CODE,0,2016-10,2
nikaia/translation-sheet,NON_CODE,0,2016-10,6
nikaia/translation-sheet,CODE,0,2017-01,4
nikaia/translation-sheet,CODE,0,2017-04,2
nikaia/translation-sheet,NON_CODE,0,2017-04,2
nikaia/translation-sheet,CODE,0,2017-05,2
nikaia/translation-sheet,NON_CODE,0,2017-05,5
nikaia/translation-sheet,CODE,0,2017-06,6
nikaia/translation-sheet,NON_CODE,0,2017-06,8
nikaia/translation-sheet,CODE,0,2017-07,2
nikaia/translation-sheet,NON_CODE,0,2017-07,3
nikaia/translation-sheet,CODE,0,2017-08,2
nikaia/translation-sheet,NON_CODE,0,2017-08,2
nikaia/translation-sheet,CODE,0,2017-09,3
nikaia/translation-sheet,NON_CODE,0,2017-09,1
nikaia/translation-sheet,CODE,0,2017-11,3
nikaia/translation-sheet,CODE,0,2018-03,2
nikaia/translation-sheet,CODE,0,2018-04,2
nikaia/translation-sheet,NON_CODE,0,2018-04,2
nikaia/translation-sheet,CODE,0,2018-05,2
nikaia/translation-sheet,NON_CODE,0,2018-05,4
nikaia/translation-sheet,CODE,0,2018-06,14
nikaia/translation-sheet,NON_CODE,0,2018-06,13
nikaia/translation-sheet,NON_CODE,0,2018-07,3
nikaia/translation-sheet,NON_CODE,0,2018-08,1
nikaia/translation-sheet,CODE,0,2018-09,5
nikaia/translation-sheet,NON_CODE,0,2018-09,3
nikaia/translation-sheet,CODE,0,2018-10,2
nikaia/translation-sheet,CODE,0,2019-01,6
nikaia/translation-sheet,NON_CODE,0,2019-01,8
nikaia/translation-sheet,CODE,0,2019-02,17
nikaia/translation-sheet,NON_CODE,0,2019-02,5
nikaia/translation-sheet,NON_CODE,0,2019-03,4
nikaia/translation-sheet,CODE,0,2019-04,6
nikaia/translation-sheet,NON_CODE,0,2019-04,12
nikaia/translation-sheet,CODE,0,2019-08,2
nikaia/translation-sheet,CODE,0,2019-09,7
nikaia/translation-sheet,CODE,0,2019-10,4
nikaia/translation-sheet,CODE,1,2019-11,1
nikaia/translation-sheet,CODE,0,2019-12,1
nikaia/translation-sheet,CODE,1,2019-12,1
nikaia/translation-sheet,NON_CODE,0,2019-12,1
nikaia/translation-sheet,CODE,0,2020-03,9
nikaia/translation-sheet,CODE,1,2020-03,1
nikaia/translation-sheet,NON_CODE,0,2020-03,1
nikaia/translation-sheet,NON_CODE,1,2020-03,3
nikaia/translation-sheet,NON_CODE,0,2020-06,1
nikaia/translation-sheet,CODE,0,2020-07,1
nikaia/translation-sheet,CODE,1,2020-07,3
nikaia/translation-sheet,NON_CODE,0,2020-08,1
nikaia/translation-sheet,CODE,0,2020-09,53
nikaia/translation-sheet,CODE,1,2020-09,1
nikaia/translation-sheet,NON_CODE,0,2020-09,6
nikaia/translation-sheet,NON_CODE,1,2020-09,2
nikaia/translation-sheet,CODE,0,2020-10,1
nikaia/translation-sheet,CODE,1,2020-12,1
nikaia/translation-sheet,NON_CODE,0,2021-01,1
nikaia/translation-sheet,CODE,1,2021-03,1
nikaia/translation-sheet,CODE,1,2021-05,3
nikaia/translation-sheet,CODE,1,2021-08,1
otherguy/laravel-error-handler,CODE,0,2015-05,7
otherguy/laravel-error-handler,CODE,0,2015-06,1
otherguy/laravel-error-handler,CODE,0,2016-01,2
otherguy/laravel-error-handler,CODE,0,2016-05,11
otherguy/laravel-error-handler,CODE,0,2016-10,3
otherguy/laravel-error-handler,NON_CODE,0,2016-10,1
otherguy/laravel-error-handler,CODE,0,2017-03,4
otherguy/laravel-error-handler,CODE,0,2017-04,2
otherguy/laravel-error-handler,NON_CODE,0,2017-04,2
otherguy/laravel-error-handler,CODE,0,2019-01,1
padosoft/laravel-affiliate-network,CODE,0,2016-11,16
padosoft/laravel-affiliate-network,CODE,0,2017-01,9
padosoft/laravel-affiliate-network,CODE,0,2017-02,6
padosoft/laravel-affiliate-network,CODE,0,2017-03,9
padosoft/laravel-affiliate-network,CODE,0,2017-04,42
padosoft/laravel-affiliate-network,NON_CODE,0,2017-04,2
padosoft/laravel-affiliate-network,CODE,0,2017-05,8
padosoft/laravel-affiliate-network,CODE,0,2017-06,7
padosoft/laravel-affiliate-network,CODE,0,2017-07,4
padosoft/laravel-affiliate-network,CODE,0,2017-08,2
padosoft/laravel-affiliate-network,CODE,0,2017-09,8
padosoft/laravel-affiliate-network,CODE,0,2017-10,8
padosoft/laravel-affiliate-network,CODE,0,2017-11,8
padosoft/laravel-affiliate-network,CODE,0,2017-12,2
padosoft/laravel-affiliate-network,CODE,0,2018-01,4
padosoft/laravel-affiliate-network,CODE,0,2018-02,1
padosoft/laravel-affiliate-network,CODE,0,2018-03,4
padosoft/laravel-affiliate-network,CODE,0,2018-04,6
padosoft/laravel-affiliate-network,NON_CODE,0,2018-04,2
padosoft/laravel-affiliate-network,CODE,0,2018-06,7
padosoft/laravel-affiliate-network,CODE,0,2018-07,2
padosoft/laravel-affiliate-network,CODE,0,2018-12,2
padosoft/laravel-affiliate-network,CODE,0,2019-01,3
padosoft/laravel-affiliate-network,CODE,0,2019-02,4
padosoft/laravel-affiliate-network,NON_CODE,0,2019-02,1
padosoft/laravel-affiliate-network,CODE,0,2019-03,11
padosoft/laravel-affiliate-network,CODE,0,2019-04,3
padosoft/laravel-affiliate-network,CODE,0,2019-05,3
padosoft/laravel-affiliate-network,CODE,0,2019-06,8
padosoft/laravel-affiliate-network,CODE,0,2019-07,4
padosoft/laravel-affiliate-network,CODE,0,2019-08,11
padosoft/laravel-affiliate-network,CODE,0,2019-10,3
