repo_name,act_type,isbot,date_month,activity
adamspannbauer/lexrankr,NON_CODE,0,2018-07,3
adamspannbauer/lexrankr,NON_CODE,0,2018-09,2
adamspannbauer/lexrankr,CODE,0,2018-12,9
adamspannbauer/lexrankr,NON_CODE,0,2018-12,7
adamspannbauer/lexrankr,CODE,0,2019-03,6
adamspannbauer/lexrankr,NON_CODE,0,2019-09,1
aertslab/rcistarget,CODE,0,2016-09,2
aertslab/rcistarget,CODE,0,2016-11,18
aertslab/rcistarget,CODE,0,2016-12,6
aertslab/rcistarget,NON_CODE,0,2016-12,2
aertslab/rcistarget,CODE,0,2017-01,7
aertslab/rcistarget,CODE,0,2017-02,13
aertslab/rcistarget,CODE,0,2017-03,13
aertslab/rcistarget,NON_CODE,0,2017-03,4
aertslab/rcistarget,CODE,0,2017-04,8
aertslab/rcistarget,NON_CODE,0,2017-04,3
aertslab/rcistarget,CODE,0,2017-05,1
aertslab/rcistarget,CODE,0,2017-06,2
aertslab/rcistarget,NON_CODE,0,2017-07,3
aertslab/rcistarget,CODE,0,2017-08,1
aertslab/rcistarget,CODE,0,2017-09,1
aertslab/rcistarget,CODE,0,2017-10,9
aertslab/rcistarget,NON_CODE,0,2017-10,2
aertslab/rcistarget,NON_CODE,0,2017-11,3
aertslab/rcistarget,CODE,0,2018-01,2
aertslab/rcistarget,CODE,0,2018-03,1
aertslab/rcistarget,CODE,0,2018-04,10
aertslab/rcistarget,CODE,0,2018-05,4
aertslab/rcistarget,NON_CODE,0,2018-05,2
aertslab/rcistarget,CODE,0,2018-06,4
aertslab/rcistarget,CODE,0,2018-08,1
aertslab/rcistarget,NON_CODE,0,2018-09,1
aertslab/rcistarget,CODE,0,2018-10,3
aertslab/rcistarget,NON_CODE,0,2018-10,1
aertslab/rcistarget,CODE,0,2018-11,2
aertslab/rcistarget,NON_CODE,0,2018-11,1
aertslab/rcistarget,NON_CODE,0,2018-12,1
aertslab/rcistarget,CODE,0,2019-01,4
aertslab/rcistarget,NON_CODE,0,2019-01,3
aertslab/rcistarget,CODE,0,2019-02,9
aertslab/rcistarget,NON_CODE,0,2019-02,3
